,2024,2024
,면적,구성비
서울특별시,605,0.6
부산광역시,771,0.8
대구광역시,1499,1.5
인천광역시,1070,1.1
광주광역시,501,0.5
대전광역시,540,0.5
울산광역시,1063,1.1
세종특별자치시,465,0.5
경기도,10201,10.2
강원특별자치도,16831,16.8
충청북도,7407,7.4
충청남도,8248,8.2
전라북도,8075,8
전라남도,12363,12.3
경상북도,18428,18.3
경상남도,10543,10.5
제주특별자치도,1850,1.8
