,2024,
,인구,인구밀도
계,"51,751",515
서울,"9,394","15,521"
부산,"3,265","4,232"
대구,"2,354","2,659"
인천,"3,049","2,851"
광주,"1,456","2,905"
대전,"1,473","2,729"
울산,"1,103","1,038"
세종,389,837
경기,"13,861","1,359"
강원,"1,518",90
충북,"1,630",220
충남,"2,224",270
전북,"1,759",218
전남,"1,757",142
경북,"2,597",136
경남,"3,249",308
제주,675,365
수도권,"26,304","2,215"
,,
,,
